Month,london student accommodation,Imperial College London,University College London,King's College London
2016-01,4,14,16,82
2016-02,4,11,13,91
2016-03,5,13,14,89
2016-04,3,14,12,71
2016-05,4,12,12,76
2016-06,3,15,15,72
2016-07,3,10,11,56
2016-08,4,12,12,61
2016-09,3,15,17,100
2016-10,2,18,13,100
2016-11,2,15,11,81
2016-12,3,10,11,64
2017-01,4,13,12,81
2017-02,3,14,14,77
2017-03,3,15,12,89
2017-04,3,14,13,66
2017-05,3,13,12,73
2017-06,3,13,13,60
2017-07,4,12,12,56
2017-08,4,13,13,61
2017-09,3,18,15,84
2017-10,2,16,15,94
2017-11,2,12,12,78
2017-12,1,9,10,58
2018-01,2,12,14,77
2018-02,3,12,10,69
2018-03,3,12,11,77
2018-04,3,10,9,66
2018-05,3,9,10,65
2018-06,3,13,10,60
2018-07,4,11,7,52
2018-08,4,12,11,58
2018-09,3,14,12,83
2018-10,2,15,12,84
2018-11,3,13,13,73
2018-12,2,10,8,53
2019-01,3,11,12,60
2019-02,3,11,10,61
2019-03,2,12,7,68
2019-04,2,10,8,52
2019-05,3,10,9,55
2019-06,3,12,10,52
2019-07,3,11,9,52
2019-08,3,12,11,55
2019-09,4,14,12,81
2019-10,3,15,11,72
2019-11,2,12,10,65
2019-12,1,9,8,44
2020-01,3,10,10,59
2020-02,2,12,11,54
2020-03,2,14,8,57
2020-04,2,12,7,42
2020-05,1,9,8,40
2020-06,2,11,7,46
2020-07,2,11,9,41
2020-08,3,11,10,50
2020-09,2,11,9,58
2020-10,2,12,9,54
2020-11,1,9,10,45
2020-12,1,9,6,37
2021-01,1,10,8,39
2021-02,1,8,7,40
2021-03,3,9,7,43
2021-04,2,8,8,40
2021-05,2,8,6,37
2021-06,2,9,7,37
2021-07,2,9,9,37
2021-08,3,10,9,40
2021-09,3,14,12,66
2021-10,2,12,9,60
2021-11,3,12,10,54
