date,turkish desserts,turkey property,turkish baklava,turkish citizenship
18/12/2016,5,17,5,2
25/12/2016,2,9,2,0
01/01/2017,2,29,2,2
08/01/2017,1,34,2,3
15/01/2017,3,15,3,4
22/01/2017,1,12,0,2
29/01/2017,1,38,3,3
05/02/2017,1,4,7,0
12/02/2017,1,32,2,1
19/02/2017,3,29,4,3
26/02/2017,2,26,6,1
05/03/2017,0,72,2,2
12/03/2017,1,100,1,3
19/03/2017,0,55,3,0
26/03/2017,2,17,6,0
02/04/2017,2,9,2,3
09/04/2017,4,3,6,2
16/04/2017,1,12,3,0
23/04/2017,4,6,3,0
30/04/2017,2,2,3,0
07/05/2017,3,4,2,1
14/05/2017,7,8,6,3
21/05/2017,2,2,5,2
28/05/2017,1,10,3,1
04/06/2017,1,5,2,1
11/06/2017,2,12,3,3
18/06/2017,1,7,8,3
25/06/2017,1,14,0,4
02/07/2017,0,5,5,2
09/07/2017,2,12,1,0
16/07/2017,1,8,3,0
23/07/2017,2,7,7,0
30/07/2017,2,9,3,3
06/08/2017,2,4,4,1
13/08/2017,0,9,2,2
20/08/2017,1,6,4,0
27/08/2017,2,6,6,1
03/09/2017,2,9,4,1
10/09/2017,1,4,1,3
17/09/2017,0,5,7,1
24/09/2017,3,8,2,3
01/10/2017,2,4,9,6
08/10/2017,0,8,3,4
15/10/2017,0,4,7,3
22/10/2017,1,7,1,0
29/10/2017,0,10,1,2
05/11/2017,2,5,1,1
12/11/2017,2,10,3,0
19/11/2017,2,13,2,2
26/11/2017,0,9,2,2
03/12/2017,1,8,6,2
10/12/2017,4,3,2,1
17/12/2017,3,7,2,2
24/12/2017,1,12,6,0
31/12/2017,3,4,9,1
07/01/2018,3,5,9,3
14/01/2018,5,7,1,1
21/01/2018,2,5,4,3
28/01/2018,1,6,6,0
04/02/2018,1,6,4,1
11/02/2018,3,7,5,0
18/02/2018,2,11,2,2
25/02/2018,0,6,2,3
04/03/2018,3,11,2,2
11/03/2018,1,6,1,0
18/03/2018,0,10,2,2
25/03/2018,2,8,4,2
01/04/2018,2,4,4,5
08/04/2018,2,5,3,1
15/04/2018,2,8,4,1
22/04/2018,2,7,6,0
29/04/2018,2,9,7,2
06/05/2018,3,10,5,0
13/05/2018,2,8,2,1
20/05/2018,1,15,3,0
27/05/2018,2,7,5,0
03/06/2018,2,6,3,1
10/06/2018,4,4,4,3
17/06/2018,0,10,4,0
24/06/2018,2,11,3,1
01/07/2018,4,3,5,4
08/07/2018,0,11,3,4
15/07/2018,0,12,4,1
22/07/2018,2,15,1,1
29/07/2018,3,6,3,1
05/08/2018,2,17,7,0
12/08/2018,1,17,7,3
19/08/2018,4,8,6,3
26/08/2018,2,11,3,2
02/09/2018,2,11,5,3
09/09/2018,1,9,6,3
16/09/2018,3,10,0,6
23/09/2018,5,8,5,5
30/09/2018,2,11,2,2
07/10/2018,5,12,2,3
14/10/2018,4,11,4,3
21/10/2018,2,11,4,3
28/10/2018,3,15,2,6
04/11/2018,0,7,6,1
11/11/2018,3,6,3,2
18/11/2018,1,15,7,2
25/11/2018,1,5,0,4
02/12/2018,1,10,5,5
09/12/2018,2,6,6,3
16/12/2018,3,6,3,2
23/12/2018,3,9,2,1
30/12/2018,1,9,7,1
06/01/2019,3,3,4,1
13/01/2019,1,6,5,4
20/01/2019,3,10,4,4
27/01/2019,2,7,4,2
03/02/2019,3,11,9,4
10/02/2019,4,5,10,3
17/02/2019,1,6,3,2
24/02/2019,1,8,4,1
03/03/2019,3,8,4,2
10/03/2019,2,10,5,2
17/03/2019,3,6,6,5
24/03/2019,0,4,10,3
31/03/2019,2,9,7,6
07/04/2019,3,6,8,1
14/04/2019,0,9,4,2
21/04/2019,3,9,3,2
28/04/2019,2,6,6,5
05/05/2019,0,5,5,3
12/05/2019,1,15,7,2
19/05/2019,2,8,4,2
26/05/2019,3,6,8,2
02/06/2019,2,13,7,3
09/06/2019,1,6,7,2
16/06/2019,0,10,4,3
23/06/2019,0,10,8,3
30/06/2019,3,6,7,5
07/07/2019,3,7,5,2
14/07/2019,4,9,6,1
21/07/2019,0,9,3,4
28/07/2019,1,14,3,1
04/08/2019,0,8,4,4
11/08/2019,4,15,8,8
18/08/2019,2,6,5,5
25/08/2019,3,7,2,4
01/09/2019,0,7,7,3
08/09/2019,3,6,5,3
15/09/2019,2,15,7,5
22/09/2019,4,4,6,3
29/09/2019,2,9,9,3
06/10/2019,2,17,4,7
13/10/2019,2,11,7,2
20/10/2019,1,4,5,3
27/10/2019,4,10,9,3
03/11/2019,2,9,2,2
10/11/2019,1,12,3,3
17/11/2019,3,13,4,2
24/11/2019,3,11,4,3
01/12/2019,2,5,6,3
08/12/2019,4,6,7,4
15/12/2019,4,8,6,7
22/12/2019,3,9,4,3
29/12/2019,4,9,4,3
05/01/2020,4,5,5,5
12/01/2020,1,10,8,3
19/01/2020,4,2,7,4
26/01/2020,4,10,5,4
02/02/2020,2,11,5,2
09/02/2020,1,7,4,5
16/02/2020,3,16,7,3
23/02/2020,3,15,7,8
