Category: All categories,,
,,
Week,stratford one: (United Kingdom),Stratford International station: (United Kingdom)
25/10/2020,22,37
01/11/2020,7,21
08/11/2020,7,21
15/11/2020,7,7
22/11/2020,35,14
29/11/2020,14,43
06/12/2020,22,30
13/12/2020,7,22
20/12/2020,8,25
27/12/2020,14,0
03/01/2021,7,7
10/01/2021,34,14
17/01/2021,0,7
24/01/2021,7,7
31/01/2021,7,14
07/02/2021,21,14
14/02/2021,14,15
21/02/2021,35,22
28/02/2021,21,0
07/03/2021,15,45
14/03/2021,21,50
21/03/2021,7,15
28/03/2021,16,8
04/04/2021,45,15
11/04/2021,46,71
18/04/2021,8,49
25/04/2021,31,24
02/05/2021,22,15
09/05/2021,22,38
16/05/2021,23,39
23/05/2021,16,40
30/05/2021,24,33
06/06/2021,47,32
13/06/2021,15,55
20/06/2021,31,47
27/06/2021,53,23
04/07/2021,38,39
11/07/2021,25,67
18/07/2021,16,58
25/07/2021,32,74
01/08/2021,48,33
08/08/2021,16,73
15/08/2021,31,24
22/08/2021,61,54
29/08/2021,26,61
05/09/2021,51,96
12/09/2021,67,78
19/09/2021,25,67
26/09/2021,16,100
03/10/2021,24,75
10/10/2021,25,43
17/10/2021,19,58
