date,stratford one,stratford International,westfield stratford city
30/10/2016,20,64,69
06/11/2016,19,48,57
13/11/2016,19,43,33
20/11/2016,10,38,58
27/11/2016,19,37,46
04/12/2016,14,41,37
11/12/2016,9,38,47
18/12/2016,45,25,91
25/12/2016,41,20,41
01/01/2017,24,63,24
08/01/2017,32,59,32
15/01/2017,14,27,23
22/01/2017,54,31,31
29/01/2017,18,68,18
05/02/2017,23,32,59
12/02/2017,35,71,40
19/02/2017,14,36,68
26/02/2017,35,26,35
05/03/2017,17,43,39
12/03/2017,22,26,57
19/03/2017,31,31,40
26/03/2017,27,49,31
02/04/2017,40,18,53
09/04/2017,33,47,42
16/04/2017,18,32,72
23/04/2017,13,27,67
30/04/2017,32,77,100
07/05/2017,13,31,36
14/05/2017,24,19,53
21/05/2017,24,43,58
28/05/2017,24,43,53
04/06/2017,19,33,28
11/06/2017,19,71,57
18/06/2017,19,93,19
25/06/2017,29,39,49
02/07/2017,34,59,49
09/07/2017,20,49,29
16/07/2017,24,53,14
23/07/2017,38,48,57
30/07/2017,19,52,28
06/08/2017,42,46,74
13/08/2017,28,52,47
20/08/2017,38,47,38
27/08/2017,23,46,23
03/09/2017,32,37,23
10/09/2017,37,23,27
17/09/2017,36,45,59
24/09/2017,36,36,32
01/10/2017,27,68,32
08/10/2017,32,50,23
15/10/2017,18,14,41
22/10/2017,40,13,40
29/10/2017,31,54,13
05/11/2017,35,31,44
12/11/2017,9,66,53
19/11/2017,17,35,52
26/11/2017,13,31,52
03/12/2017,9,62,27
10/12/2017,52,22,69
17/12/2017,60,27,50
24/12/2017,34,49,78
31/12/2017,32,32,55
07/01/2018,35,17,26
14/01/2018,26,43,26
21/01/2018,13,46,34
28/01/2018,42,17,25
04/02/2018,30,34,42
11/02/2018,26,34,51
18/02/2018,38,25,46
25/02/2018,12,37,17
04/03/2018,25,41,41
11/03/2018,25,50,46
18/03/2018,47,60,38
25/03/2018,9,53,53
01/04/2018,52,52,78
08/04/2018,8,42,38
15/04/2018,17,55,30
22/04/2018,25,21,13
29/04/2018,22,65,43
06/05/2018,34,43,26
13/05/2018,34,38,51
20/05/2018,22,39,22
27/05/2018,13,35,35
03/06/2018,17,51,63
10/06/2018,25,33,37
17/06/2018,34,42,34
24/06/2018,30,30,34
01/07/2018,34,43,43
08/07/2018,47,34,34
15/07/2018,35,30,43
22/07/2018,13,30,34
29/07/2018,30,55,89
05/08/2018,42,63,25
12/08/2018,34,30,17
19/08/2018,21,26,56
26/08/2018,46,63,51
02/09/2018,21,46,46
09/09/2018,29,41,17
16/09/2018,29,45,33
23/09/2018,29,42,29
30/09/2018,17,38,29
07/10/2018,46,42,13
14/10/2018,21,59,30
21/10/2018,25,33,42
28/10/2018,47,42,55
04/11/2018,37,66,12
11/11/2018,34,34,38
18/11/2018,13,29,58
25/11/2018,41,54,29
02/12/2018,25,51,38
09/12/2018,38,55,38
16/12/2018,17,60,52
23/12/2018,28,33,94
30/12/2018,36,36,54
06/01/2019,13,21,29
13/01/2019,37,53,33
20/01/2019,24,53,24
27/01/2019,29,41,16
03/02/2019,16,20,28
10/02/2019,20,44,40
17/02/2019,24,57,32
24/02/2019,32,40,28
03/03/2019,37,21,21
10/03/2019,8,36,45
17/03/2019,29,70,12
24/03/2019,33,37,20
31/03/2019,38,50,46
07/04/2019,16,29,49
14/04/2019,26,52,43
21/04/2019,21,30,34
28/04/2019,37,29,58
05/05/2019,21,37,29
12/05/2019,17,42,25
19/05/2019,21,49,37
26/05/2019,28,45,53
02/06/2019,16,45,41
09/06/2019,32,28,28
16/06/2019,16,33,21
23/06/2019,12,61,33
30/06/2019,33,37,25
07/07/2019,16,45,33
14/07/2019,33,50,46
21/07/2019,17,60,30
28/07/2019,30,42,25
04/08/2019,29,29,42
11/08/2019,17,29,67
18/08/2019,53,53,53
25/08/2019,12,32,77
01/09/2019,32,36,28
08/09/2019,12,39,24
15/09/2019,23,27,31
22/09/2019,27,54,27
29/09/2019,27,66,43
06/10/2019,39,89,42
13/10/2019,15,54,35
20/10/2019,19,70,62
27/10/2019,27,50,50
03/11/2019,19,19,26
10/11/2019,26,30,45
17/11/2019,15,31,34
24/11/2019,23,34,26
01/12/2019,23,34,38
08/12/2019,28,24,47
15/12/2019,19,43,39
22/12/2019,21,46,59
29/12/2019,12,61,57
05/01/2020,26,30,49
12/01/2020,11,47,36
19/01/2020,11,34,22
26/01/2020,22,37,15
02/02/2020,14,22,25
09/02/2020,29,54,33
16/02/2020,36,47,33
23/02/2020,21,42,31
01/03/2020,7,42,25
08/03/2020,42,35,11
15/03/2020,24,24,21
22/03/2020,7,24,7
29/03/2020,16,3,10
05/04/2020,7,3,17
12/04/2020,10,17,7
19/04/2020,16,0,16
